codcli,marca,colecaoId,colecao,ordem,valor
17441,KIKI,V26,Verão 2026,3,52362
17441,KIKI,V27,Verão 2027,6,391258
17441,MENINA ANJO,I26,Inverno 2026,4,419998
17441,MENINA ANJO,T26,Tropical 2026,5,2863
17441,MENINA ANJO,V26,Verão 2026,3,6653
17441,VALENT,I26,Inverno 2026,4,61698
17441,VALENT,V26,Verão 2026,3,1010
17441,VALENT,V27,Verão 2027,6,65041
17443,KIKI,V26,Verão 2026,3,44693
17443,MENINA ANJO,V26,Verão 2026,3,7951
17446,KIKI,V27,Verão 2027,6,9891
17452,KIKI,V26,Verão 2026,3,27684
17452,MENINA ANJO,V26,Verão 2026,3,11918
17453,KIKI,V26,Verão 2026,3,7816
17456,KIKI,I26,Inverno 2026,4,555518
17456,KIKI,V26,Verão 2026,3,133320
17456,MENINA ANJO,I26,Inverno 2026,4,1521673
17456,MENINA ANJO,V26,Verão 2026,3,29266
17456,VALENT,I26,Inverno 2026,4,1107979
17456,VALENT,T26,Tropical 2026,5,8651
17456,VALENT,V26,Verão 2026,3,484376
17457,KIKI,I26,Inverno 2026,4,654399
17457,KIKI,V26,Verão 2026,3,17145
17457,MENINA ANJO,I26,Inverno 2026,4,8275
17457,MENINA ANJO,V26,Verão 2026,3,4558
17457,VALENT,I26,Inverno 2026,4,592484
17457,VALENT,V26,Verão 2026,3,5414
17459,KIKI,I26,Inverno 2026,4,25449
17459,KIKI,V26,Verão 2026,3,24721
17459,KIKI,V27,Verão 2027,6,546661
17459,MENINA ANJO,I26,Inverno 2026,4,11225
17459,MENINA ANJO,V26,Verão 2026,3,16681
17459,MENINA ANJO,V27,Verão 2027,6,4833
17464,KIKI,I26,Inverno 2026,4,1
17464,VALENT,I26,Inverno 2026,4,155600
17476,KIKI,V26,Verão 2026,3,5726
17477,KIKI,I26,Inverno 2026,4,1071669
17477,KIKI,V26,Verão 2026,3,3924
17477,VALENT,I26,Inverno 2026,4,1123200
17479,KIKI,V26,Verão 2026,3,16219
17479,MENINA ANJO,V26,Verão 2026,3,4799
17479,VALENT,V26,Verão 2026,3,5627
17486,KIKI,V26,Verão 2026,3,14
17487,KIKI,V27,Verão 2027,6,13964
17487,MENINA ANJO,V27,Verão 2027,6,11318
17487,VALENT,V27,Verão 2027,6,4525
17488,KIKI,I26,Inverno 2026,4,3503
17488,KIKI,V26,Verão 2026,3,4178
17488,MENINA ANJO,V26,Verão 2026,3,8
17489,KIKI,V26,Verão 2026,3,4172
17491,KIKI,V26,Verão 2026,3,6
17495,KIKI,V26,Verão 2026,3,19946
